estLocus,Nomen,Textus,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus4,Acheloia,"Quando aliter tetras , Acheloia monstra , uolucres",Acheloius,urn:cite:perseus:latlexent.lex83.1,urn:cite:croala:latmorph.morph.77.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div7.l14.w4,68826.0,,,,,,,,,,,,,,,,,
estlocus2,Aethnaeis,"Effugis , Aethnaeis scopulis saxoque Sicano",Aetnaeus,urn:cite:perseus:latlexent.lex281.1,urn:cite:croala:latmorph.morph.62.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div7.l18.w2,68946.0,,,,,,,,,,,,,,,,,
estlocus4,Hyblaeisque,"Dulcior Hyblaeisque fauis fluat , illa dolores",Hyblaeus,urn:cite:croala:latlexent.lex50045.1,urn:cite:croala:latmorph.morph.62.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div7.l65.w2,70468.0,,,,,,,,,,,,,,,,,
estlocus2,Idalii,"Idalii nec si detur noua copia luci ,",Idalius,urn:cite:croala:latlexent.lex50046.1,urn:cite:croala:latmorph.morph.123.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l105.w1,75932.0,,,,,,,,,,,,,,,,,
estlocus1,Ancon,Hinc tibi nec priscis ingloria laudibus Ancon,Ancon,urn:cite:perseus:latlexent.lex553.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l109.w7,76084.0,,,,,,,,,,,,,,,,,
estlocus1,Appeninus,"Transmittitque tuos glaciem Appeninus in usus ,",Apenninus,urn:cite:perseus:latlexent.lex677.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l113.w4,76192.0,,,,,,,,,,,,,,,,,
estlocus1,Adria,Lasciuire suis Adria gaudet aquis .,Adria,urn:cite:perseus:latlexent.lex170.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l116.w3,76292.0,,,,,,,,,,,,,,,,,
estlocus4,Boreas,"Haec loca foecundat Boreas , sed collis et Auster",boreas,urn:cite:perseus:latlexent.lex13662.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l33.w4,73677.0,,,,,,,,,,,,,,,,,
estlocus4,Auster,"Haec loca foecundat Boreas , sed collis et Auster",auster,urn:cite:perseus:latlexent.lex12976.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l33.w8,73697.0,,,,,,,,,,,,,,,,,
estlocus1,Auerna,"Noxia pestiferum uirus Auerna uomunt ,",Averna,urn:cite:croala:latlexent.lex50047.1,urn:cite:croala:latmorph.morph.37.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l52.w4,74314.0,,,,,,,,,,,,,,,,,
estlocus1,Europam,"Europam atque Asiam iactitet ille licet ,",Europa,urn:cite:croala:latlexent.lex26446.1,urn:cite:croala:latmorph.morph.1.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l18.w1,89065.0,,,,,,,,,,,,,,,,,
estlocus1,Asiam,"Europam atque Asiam iactitet ille licet ,",Asia,urn:cite:croala:latlexent.lex38242.1,urn:cite:croala:latmorph.morph.1.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l18.w3,89073.0,,,,,,,,,,,,,,,,,
estlocus1,Germania,"Nam , uelut inuictis tribuit Germania Drusis ,",Germania,urn:cite:croala:latlexent.lex50048.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l5.w5,88630.0,,,,,,,,,,,,,,,,,
estlocus2,Dacica,"Victori aut nomen Dacica terra suo ,",Dacicus,urn:cite:croala:latlexent.lex50049.1,urn:cite:croala:latmorph.morph.108.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l6.w4,88658.0,,,,,,,,,,,,,,,,,
estlocus3,Affrica,"Aut sua Scipiadae dedit Affrica , Creta Metello ,",Africa,urn:cite:perseus:latlexent.lex288.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l7.w5,88694.0,,,,,,,,,,,,,,,,,
estlocus1,Creta,"Aut sua Scipiadae dedit Affrica , Creta Metello ,",Creta,urn:cite:perseus:latlexent.lex2473.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l7.w6,88702.0,,,,,,,,,,,,,,,,,
estlocus2,Haesperia,"Siue haec Haesperia est , siue Arctica stella uicissim ,",Hesperius,urn:cite:perseus:latlexent.lex3753.1,urn:cite:croala:latmorph.morph.108.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l27.w3,90106.0,,,,,,,,,,,,,,,,,
estlocus2,Arctica,"Siue haec Haesperia est , siue Arctica stella uicissim ,",arcticus,urn:cite:perseus:latlexent.lex12100.1,urn:cite:croala:latmorph.morph.108.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l27.w6,90122.0,,,,,,,,,,,,,,,,,
