estLocus,Nomen,Textus,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus4,Ditem,"Demittet , uincat linguae qui fulmine Ditem",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l67.w6,983225.0,,,,,,,,,,,,,,,,,
estlocus4,Ditem,Excipiuntque graui nutantem uulnere Ditem,Dis,urn:cite:perseus:latlexent.lex2834.1,urn:cite:croala:latmorph.morph.8.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l250.w5,1001349.0,,,,,,,,,,,,,,,,,
estlocus4,Diti,"Alcidae magni , Diti quoque cognita summi",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l150.w3,997745.0,,,,,,,,,,,,,,,,,
estlocus4,Ditis,"Spartano praetenta sinu , qua Ditis anhelat",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l23.w5,969598.0,,,,,,,,,,,,,,,,,
estlocus4,Ditis,Sospes et ad dominam Ditis sua munera ferre .,Dis,urn:cite:perseus:latlexent.lex2834.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l87.w5,983955.0,,,,,,,,,,,,,,,,,
estlocus4,Ditis,Fas mihi sit patrui sedes inuisere Ditis ? !,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l113.w7,984781.0,,,,,,,,,,,,,,,,,
estlocus4,Ditis,Ditis,Dis,urn:cite:perseus:latlexent.lex2835.1,urn:cite:croala:latmorph.morph.123.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l145.app.rdg2.w,985919.0,,,,,,,,,,,,,,,,,
estlocus4,Ditis,Ille fuga uersus petit alta sedilia Ditis .,Dis,urn:cite:perseus:latlexent.lex2835.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l165.w7,986589.0,,,,,,,,,,,,,,,,,
estlocus4,Ditis,Clamosumque forum nigram stat Ditis ad aulam,Dis,urn:cite:perseus:latlexent.lex2835.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l264.w5,989884.0,,,,,,,,,,,,,,,,,
estlocus4,Ditis,Imperiumque tenent umbrarum atque impia Ditis,Dis,urn:cite:perseus:latlexent.lex2835.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l44.w6,994139.0,,,,,,,,,,,,,,,,,
estlocus4,Ditis,"Ardescunt animi Ditis , procul exulat omnis",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l191.w3,999190.0,,,,,,,,,,,,,,,,,
estlocus4,Ditis,Ditis ad insultum telique tricuspidis ictum .,Dis,urn:cite:perseus:latlexent.lex2834.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l240.w1,1001003.0,,,,,,,,,,,,,,,,,
estlocus4,Ditis,En tua progenies sacraria Ditis auari,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l288.w5,1002639.0,,,,,,,,,,,,,,,,,
estlocus1,Elysium,"Qua regit Elysium , qua Tartara quaque sub imo uoraci",Elysium,urn:cite:perseus:latlexent.lex2978.1,urn:cite:croala:latmorph.morph.30.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l295.w3,979942.0,,,,,,,,,,,,,,,,,
estlocus1,Elysium,"Sensit et Elysium longe nemus , audiit omnis",Elysium,urn:cite:perseus:latlexent.lex2978.1,urn:cite:croala:latmorph.morph.15.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l193.w3,987493.0,,,,,,,,,,,,,,,,,
estlocus1,Eoas,"Aeacus Europae gentes , Rhadamantus Eoas",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l46.w5,994205.0,,,,,,,,,,,,,,,,,
estlocus1,Eoas,"Arua draco siluasue procul cristatus Eoas ,",Eous,urn:cite:perseus:latlexent.lex3005.1,urn:cite:croala:latmorph.morph.41.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l260.w6,1001691.0,,,,,,,,,,,,,,,,,
estlocus1,Eoo,""" Postera ab Eoo roseis inuecta quadrigis",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l1.w3,980902.0,,,,,,,,,,,,,,,,,
estlocus1,Ephyrea,Hic Ephyrea ratis Calabro resoluta Tarento,Ephyreus,urn:cite:croala:latlexent.lex50064.1,urn:cite:croala:latmorph.morph.108.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l308.w2,1003283.0,,,,,,,,,,,,,,,,,
estlocus1,Ephyreas,Parte alia ueniens Ephyreas laetus ad arces,Ephyreus,urn:cite:croala:latlexent.lex50064.1,urn:cite:croala:latmorph.morph.41.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l326.w4,1003837.0,,,,,,,,,,,,,,,,,
estlocus4,Erebi,Et caligantes Erebi deuenit ad umbras .,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l27.w3,969714.0,,,,,,,,,,,,,,,,,
estlocus4,Erebi,""" Thracius ad sedes Erebi descendere uates",Erebus,urn:cite:perseus:latlexent.lex3053.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l109.w4,984645.0,,,,,,,,,,,,,,,,,
