estLocus,Nomen,Textus,URN
estlocus1,Dircaei,"Obtestor Phoebi et Dircaei Amphionis urbem ,",bunic02.croala1761880.croala-lat2w:body.div2.l47.w4
estlocus0,Dis,"Dis pater , ignitis produnt quae faucibus alta",bunic02.croala1761880.croala-lat2w:body.div3.l128.w1
estlocus4,Dis,Dis impune putans ad apertos emicat artus,bunic02.croala1761880.croala-lat2w:body.div3.l241.w1
estlocus0,Discordia,"Horrisono , furibunda ruit Discordia iuxta ,",bunic02.croala1761880.croala-lat2w:body.div1.l55.w4
estlocus0,Ditem,"Demittet , uincat linguae qui fulmine Ditem",bunic02.croala1761880.croala-lat2w:body.div2.l67.w6
estlocus4,Ditem,Excipiuntque graui nutantem uulnere Ditem,bunic02.croala1761880.croala-lat2w:body.div3.l250.w5
estlocus0,Diti,"Alcidae magni , Diti quoque cognita summi",bunic02.croala1761880.croala-lat2w:body.div3.l150.w3
estlocus0,Ditis,"Spartano praetenta sinu , qua Ditis anhelat",bunic02.croala1761880.croala-lat2w:body.div1.l23.w5
estlocus4,Ditis,Sospes et ad dominam Ditis sua munera ferre .,bunic02.croala1761880.croala-lat2w:body.div2.l87.w5
estlocus0,Ditis,Fas mihi sit patrui sedes inuisere Ditis ? !,bunic02.croala1761880.croala-lat2w:body.div2.l113.w7
estlocus4,Ditis,Ditis,bunic02.croala1761880.croala-lat2w:body.div2.l145.app.rdg2.w
estlocus4,Ditis,Ille fuga uersus petit alta sedilia Ditis .,bunic02.croala1761880.croala-lat2w:body.div2.l165.w7
estlocus4,Ditis,Clamosumque forum nigram stat Ditis ad aulam,bunic02.croala1761880.croala-lat2w:body.div2.l264.w5
estlocus4,Ditis,Imperiumque tenent umbrarum atque impia Ditis,bunic02.croala1761880.croala-lat2w:body.div3.l44.w6
estlocus0,Ditis,"Ardescunt animi Ditis , procul exulat omnis",bunic02.croala1761880.croala-lat2w:body.div3.l191.w3
estlocus4,Ditis,Ditis ad insultum telique tricuspidis ictum .,bunic02.croala1761880.croala-lat2w:body.div3.l240.w1
estlocus0,Ditis,En tua progenies sacraria Ditis auari,bunic02.croala1761880.croala-lat2w:body.div3.l288.w5
estlocus0,Diua,Diua mihi Pimplea refer ! - - - Dux agmine Pluto,bunic02.croala1761880.croala-lat2w:body.div3.l70.w1
estlocus0,Diuas,"Diuas , quae Paphiam deam colentem",bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l1.w1
estlocus1,Elysium,"Qua regit Elysium , qua Tartara quaque subimouoraci",bunic02.croala1761880.croala-lat2w:body.div1.l295.w3
estlocus1,Elysium,"Sensit et Elysium longe nemus , audiit omnis",bunic02.croala1761880.croala-lat2w:body.div2.l193.w3
